id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
423,d,75.0,75.0,Knock - 75% chance of playing,
424,d,25.0,25.0,Hamstring injury - 25% chance of playing,
323,a,,,,
425,u,0.0,0.0,Has joined Bayer Leverkusen on loan for the rest of the season.,
427,a,,,,
428,u,0.0,0.0,Has joined Middlesbrough on loan for the rest of the season.,
429,a,,,,
430,a,100.0,100.0,,
736,a,,,,
739,a,,,,
431,a,,,,
432,u,0.0,0.0,has joined Trabzonspor on loan for the rest of the season.,
433,u,0.0,0.0,On loan to Shrewsbury Town,
435,a,,,,
436,d,25.0,25.0,Back injury - 25% chance of playing,
437,a,100.0,100.0,,
438,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
439,a,,,,
440,a,100.0,100.0,,
441,a,,,,
442,d,25.0,25.0,Hamstring injury - 25% chance of playing,
443,a,,,,
444,a,,,,
445,u,0.0,0.0,has joined Sheffield Wednesday on loan for the rest of the season.,
446,a,,,,
447,a,100.0,100.0,,
448,a,,,,
449,d,50.0,25.0,Hamstring injury - 50% chance of playing,
450,a,100.0,100.0,,
451,u,0.0,0.0,Has joined Barcelona on loan for the rest of the season,
452,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
454,u,0.0,0.0,has joined Real Betis permanently.,
455,d,50.0,25.0,Muscle injury - 50% chance of playing,
457,a,100.0,100.0,,
458,d,25.0,25.0,Calf injury - 25% chance of playing,
459,a,,,,
460,u,0.0,0.0,Has joined West Bromwich Albion on loan for the rest of the season.,
461,a,,,,
462,a,,,,
463,a,,,,
464,u,0.0,0.0,has joined Leyton Orient on loan for the rest of the season.,
465,u,0.0,0.0,has joined Napoli on loan for the rest of the season.,
466,a,100.0,100.0,,
468,u,0.0,0.0,has joined Northampton Town on loan for the rest of the season.,
681,a,100.0,100.0,,
733,a,,,,
755,a,,,,
769,a,,,,
771,a,,,,
788,a,,,,
52,a,100.0,100.0,,
135,a,100.0,100.0,,
469,a,100.0,100.0,,
471,a,,,,
472,u,0.0,0.0,Has joined Sevilla on loan for the rest of the season.,
475,a,100.0,75.0,,
476,i,0.0,0.0,Rib Injury - Expected back 18 Jan,
477,a,100.0,50.0,,
479,i,0.0,0.0,Knee injury - Unknown return date,
480,d,25.0,25.0,Lack of match fitness - 25% chance of playing,
482,a,100.0,100.0,,
483,a,,,,
484,u,0.0,0.0,has joined Middlesbrough on loan for the rest of the season.,
485,a,100.0,100.0,,
486,d,75.0,75.0,Knock - 75% chance of playing,
487,a,,,,
488,a,,,,
489,d,75.0,,Hamstring injury - 75% chance of playing,
490,a,100.0,100.0,,
491,a,100.0,100.0,,
492,u,0.0,0.0,has joined Cadiz on loan for the rest of the season.,
494,a,100.0,100.0,,
495,u,0.0,0.0,Has departed the club as a free agent.,
496,u,0.0,0.0,has joined Sparta Prague permanently.,
497,a,100.0,100.0,,
498,u,0.0,0.0,Has joined Leyton Orient on loan for the rest of the season.,
500,i,0.0,0.0,Ankle injury - Expected back 31 Jan,
501,a,,,,
674,a,,,,
684,a,,,,
689,a,,,,
714,a,,,,
753,a,,,,
765,a,,,,
772,a,,,,
12,a,100.0,100.0,,
426,a,,,,
502,a,100.0,100.0,,
503,u,0.0,0.0,Has joined Palmeiras permanently.,
504,u,0.0,0.0,Has joined Lyon permanently.,
505,a,,,,
506,a,100.0,100.0,,
507,a,100.0,100.0,,
508,a,,,,
509,u,0.0,0.0,has joined Real Oviedo on loan for the rest of the season.,
510,a,,,,
511,a,,,,
512,u,0.0,0.0,has joined Rio Ave on loan for the rest of the season.,
514,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
515,a,100.0,100.0,,
516,d,75.0,100.0,Achilles injury - 75% chance of playing,
517,a,,,,
518,u,0.0,0.0,has joined Besiktas on loan for the rest of the season.,
519,a,100.0,100.0,,
521,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
522,d,25.0,25.0,Hamstring injury - 25% chance of playing,
523,u,0.0,0.0,has joined Rio Ave on loan for the rest of the season.,
524,u,0.0,0.0,Has joined Swansea City permanently.,
525,i,0.0,0.0,Knee injury - Unknown return date,
526,a,,,,
527,a,100.0,100.0,,
669,d,50.0,50.0,Calf injury - 50% chance of playing,
675,a,100.0,100.0,,
693,a,,,,
696,a,,,,
699,a,100.0,100.0,,
715,d,75.0,,Calf injury - 75% chance of playing,
529,a,,,,
530,a,,,,
531,a,100.0,25.0,,
532,a,,,,
533,i,0.0,0.0,Shoulder injury - Unknown return date,
534,a,,,,
537,u,0.0,0.0,has joined Wycombe Wanderers on loan for the rest of the season.,
538,a,,,,
541,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
542,u,0.0,0.0,has joined Wolfsburg on loan for the rest of the season.,
543,a,,,,
544,i,0.0,0.0,International Duty - Unknown return date,
545,u,0.0,0.0,has joined Birmingham City on loan for the rest of the season.,
546,u,0.0,0.0,has joined Cracovia on loan for the rest of the season.,
547,a,100.0,100.0,,
548,a,100.0,100.0,,
