,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
133,Fabinho,br BRA,MF,Liverpool,25,1993,23.1,,39,,,,,,,,,,,35,,,,Matches,7f3b388c
134,Ralf Fährmann,de GER,GK,Norwich City,30,1988,0.2,,0,,,,,,,,,,,0,,,,Matches,1e43fad8
135,Akin Famewo,eng ENG,DF,Norwich City,20,1998,0.0,,0,,,,,,,,,,,0,,,,Matches,9d9a71c1
136,Kiko Femenía,es ESP,DF,Watford,28,1991,24.9,,36,,,,,,,,,,,37,,,,Matches,e5d01ecf
137,Bruno Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,,11,,,,,,,,,,,9,,,,Matches,507c7bdf
138,Gedson Fernandes,pt POR,MF,Tottenham,20,1999,0.8,,0,,,,,,,,,,,1,,,,Matches,e2dde94c
139,Federico Fernández,ar ARG,DF,Newcastle,30,1989,29.1,,24,,,,,,,,,,,22,,,,Matches,f25b010f
140,Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,,32,,,,,,,,,,,25,,,,Matches,101da2b5
141,Roberto Firmino,br BRA,FW,Liverpool,27,1991,33.2,,19,,,,,,,,,,,8,,,,Matches,4c370d81
142,John Fleck,sct SCO,MF,Sheffield United,27,1991,28.0,,25,,,,,,,,,,,24,,,,Matches,b63e789d
143,Phil Foden,eng ENG,FWMF,Manchester City,19,2000,10.0,,9,,,,,,,,,,,7,,,,Matches,ed1e53f3
144,Pablo Fornals,es ESP,MF,West Ham,23,1996,24.1,,30,,,,,,,,,,,24,,,,Matches,82927de4
145,Ben Foster,eng ENG,GK,Watford,36,1983,38.0,,0,,,,,,,,,,,1,,,,Matches,d0b3ceb9
146,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,,1,,,,,,,,,,,5,,,,Matches,a9142dc3
147,Dimitri Foulquier,fr FRA,MF,Watford,26,1993,0.7,,0,,,,,,,,,,,2,,,,Matches,45e17712
148,Juan Foyth,ar ARG,DF,Tottenham,21,1998,0.8,,3,,,,,,,,,,,2,,,,Matches,6c7762c3
149,Simon Francis,eng ENG,DF,Bournemouth,34,1985,10.8,,9,,,,,,,,,,,20,,,,Matches,1e0b6a73
150,Ryan Fraser,sct SCO,MFFW,Bournemouth,25,1994,23.0,,7,,,,,,,,,,,16,,,,Matches,d56543a0
151,Fred,br BRA,MF,Manchester Utd,26,1993,24.0,,32,,,,,,,,,,,38,,,,Matches,b853e0ad
152,Ryan Fredericks,eng ENG,DF,West Ham,26,1992,24.9,,53,,,,,,,,,,,26,,,,Matches,c067631c
153,Kieron Freeman,wls WAL,DFMF,Sheffield United,27,1992,0.1,,0,,,,,,,,,,,0,,,,Matches,c13c24c8
154,Luke Freeman,eng ENG,MF,Sheffield United,27,1992,4.1,,4,,,,,,,,,,,9,,,,Matches,636b64cd
155,Christian Fuchs,at AUT,DFMF,Leicester City,33,1986,8.6,,9,,,,,,,,,,,16,,,,Matches,a67a09fb
156,Eric García,es ESP,DF,Manchester City,18,2001,8.8,,1,,,,,,,,,,,18,,,,Matches,2bed3eab
157,James Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,,0,,,,,,,,,,,0,,,,Matches,4e015693
158,Dwight Gayle,eng ENG,FW,Newcastle,28,1990,9.4,,9,,,,,,,,,,,2,,,,Matches,e58a03c6
159,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,,0,,,,,,,,,,,0,,,,Matches,63d17038
160,Jean-Philippe Gbamin,ci CIV,MF,Everton,23,1995,1.5,,3,,,,,,,,,,,1,,,,Matches,6bd603db
161,David de Gea,es ESP,GK,Manchester Utd,28,1990,38.0,,0,,,,,,,,,,,0,,,,Matches,7ba6d84e
162,Anwar El Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.8,,11,,,,,,,,,,,12,,,,Matches,ffa90327
163,Morgan Gibbs-White,eng ENG,MF,Wolves,19,2000,1.4,,0,,,,,,,,,,,1,,,,Matches,32f60ed8
164,Billy Gilmour,sct SCO,MF,Chelsea,18,2001,2.2,,2,,,,,,,,,,,3,,,,Matches,df10e27c
165,Olivier Giroud,fr FRA,FW,Chelsea,32,1986,11.0,,2,,,,,,,,,,,2,,,,Matches,16ceb862
